mr,ref
"day[1 2], month[10], year[2006]","The date is October twelve , 2006 .","-1 -1 -1 2 0 4 3 -1"
"day[1 9], month[6], year[2016]","It is nineteen June 2016 .","-1 -1 0 2 3 -1"
"day[0 8], month[5], year[2009]","Today is the eighth of May in the year 2009 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 7], month[10], year[2019]","It is twenty seven October 2019 .","-1 -1 0 0 2 3 -1"
"day[2 8], month[5], year[2018]","It is the twenty eighth of May in the year 2018 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 1], month[10], year[2020]","Today is October one in the year 2020 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[3 0], month[8], year[2007]","It is thirty August of the year 2007 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 2], month[3], year[2013]","The date is March the twelfth of the year 2013 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 6], month[2], year[2020]","It is the sixth of February in the year 2020 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 4], month[9], year[2002]","It is the fourteenth of September in the year 2002 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 1], month[1], year[2003]","Today is the twenty first of January in the year 2003 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 8], month[1], year[2001]","The date is January eight , 2001 .","-1 -1 -1 2 0 4 3 -1"
"day[1 5], month[9], year[2018]","It is fifteen September 2018 .","-1 -1 0 2 3 -1"
"day[2 1], month[5], year[2013]","The date is May the twenty first of the year 2013 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 7], month[11], year[2000]","Today is the twenty seventh of November , 2000 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 4], month[12], year[2015]","Today is December four in the year 2015 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 8], month[7], year[2015]","It is eighteen July 2015 .","-1 -1 0 2 3 -1"
"day[1 9], month[5], year[2004]","The date is nineteen May of the year 2004 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[0 6], month[5], year[2004]","The date is May the sixth , 2004 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 2], month[8], year[2016]","Today is August two , 2016 .","-1 -1 2 0 4 3 -1"
"day[1 6], month[6], year[2002]","It is sixteen June of the year 2002 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 6], month[10], year[2004]","Today is October six , 2004 .","-1 -1 2 0 4 3 -1"
"day[2 4], month[1], year[2012]","The date is twenty four January 2012 .","-1 -1 -1 0 0 2 3 -1"
"day[0 3], month[4], year[2016]","Today is April the third of the year 2016 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 0], month[5], year[2003]","Today is May twenty in the year 2003 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 5], month[5], year[2018]","The date is May twenty five , 2018 .","-1 -1 -1 2 0 0 4 3 -1"
"day[0 4], month[10], year[2015]","It is four October of the year 2015 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 1], month[5], year[2010]","Today is May twenty one , 2010 .","-1 -1 2 0 0 4 3 -1"
"day[1 3], month[3], year[2019]","Today is March the thirteenth , 2019 .","-1 -1 2 -1 1 4 3 -1"
"day[2 3], month[8], year[2018]","It is the twenty third of August , 2018 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 0], month[11], year[2007]","It is November ten , 2007 .","-1 -1 2 0 4 3 -1"
"day[0 2], month[4], year[2014]","The date is April two in the year 2014 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 8], month[4], year[2019]","The date is April the eighth of the year 2019 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 9], month[12], year[2004]","The date is December the nineteenth of the year 2004 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 9], month[1], year[2014]","Today is twenty nine January of the year 2014 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 2], month[8], year[2001]","It is August twelve in the year 2001 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 1], month[12], year[2006]","Today is December eleven , 2006 .","-1 -1 2 0 4 3 -1"
"day[1 5], month[7], year[2008]","Today is July fifteen in the year 2008 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 5], month[8], year[2020]","Today is five August 2020 .","-1 -1 0 2 3 -1"
"day[2 7], month[7], year[2008]","Today is July the twenty seventh of the year 2008 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 7], month[11], year[2019]","Today is November seven in the year 2019 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 6], month[4], year[2014]","The date is April the sixth , 2014 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 5], month[8], year[2003]","The date is five August of the year 2003 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[2 4], month[9], year[2000]","The date is September the twenty fourth , 2000 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[1 6], month[12], year[2014]","The date is sixteen December 2014 .","-1 -1 -1 0 2 3 -1"
"day[1 0], month[5], year[2006]","It is ten May of the year 2006 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 1], month[5], year[2007]","It is the twenty first of May , 2007 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 7], month[8], year[2001]","Today is August the seventeenth , 2001 .","-1 -1 2 -1 1 4 3 -1"
"day[1 8], month[8], year[2020]","It is the eighteenth of August , 2020 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 9], month[1], year[2001]","Today is twenty nine January of the year 2001 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 5], month[3], year[2005]","It is March five , 2005 .","-1 -1 2 0 4 3 -1"
"day[2 3], month[3], year[2002]","It is March twenty three , 2002 .","-1 -1 2 0 0 4 3 -1"
"day[0 5], month[6], year[2008]","It is June five in the year 2008 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 5], month[8], year[2016]","Today is August fifteen in the year 2016 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 9], month[6], year[2000]","It is twenty nine June of the year 2000 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 5], month[2], year[2000]","The date is the fifth of February in the year 2000 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 5], month[1], year[2010]","It is January fifteen in the year 2010 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 3], month[9], year[2007]","It is the twenty third of September , 2007 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 7], month[3], year[2009]","It is seventeen March 2009 .","-1 -1 0 2 3 -1"
"day[2 0], month[9], year[2010]","Today is September the twentieth of the year 2010 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 9], month[3], year[2007]","The date is March the nineteenth , 2007 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[2 5], month[11], year[2008]","It is November the twenty fifth of the year 2008 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 6], month[6], year[2007]","Today is six June 2007 .","-1 -1 0 2 3 -1"
"day[0 3], month[4], year[2012]","The date is three April 2012 .","-1 -1 -1 0 2 3 -1"
"day[0 7], month[5], year[2004]","Today is May seven in the year 2004 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 3], month[9], year[2014]","Today is September the thirteenth , 2014 .","-1 -1 2 -1 1 4 3 -1"
"day[0 1], month[9], year[2005]","It is September the first of the year 2005 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 6], month[1], year[2020]","The date is January the sixteenth of the year 2020 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 6], month[1], year[2011]","It is January sixteen in the year 2011 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 9], month[5], year[2019]","The date is nine May 2019 .","-1 -1 -1 0 2 3 -1"
"day[1 5], month[6], year[2005]","The date is June fifteen in the year 2005 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[2 9], month[11], year[2018]","The date is November twenty nine , 2018 .","-1 -1 -1 2 0 0 4 3 -1"
"day[2 0], month[3], year[2000]","The date is March the twentieth of the year 2000 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 5], month[10], year[2012]","The date is October the fifteenth of the year 2012 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[3 0], month[4], year[2005]","It is the thirtieth of April , 2005 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 2], month[9], year[2020]","Today is two September of the year 2020 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 5], month[5], year[2004]","The date is May the fifth of the year 2004 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 9], month[12], year[2016]","Today is December the nineteenth of the year 2016 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 4], month[1], year[2015]","Today is January twenty four , 2015 .","-1 -1 2 0 0 4 3 -1"
"day[0 3], month[5], year[2008]","It is the third of May , 2008 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 7], month[9], year[2013]","It is September seventeen in the year 2013 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 7], month[3], year[2001]","Today is March the seventh , 2001 .","-1 -1 2 -1 1 4 3 -1"
"day[1 7], month[11], year[2012]","It is November seventeen , 2012 .","-1 -1 2 0 4 3 -1"
"day[0 6], month[9], year[2019]","Today is September six , 2019 .","-1 -1 2 0 4 3 -1"
"day[2 2], month[8], year[2012]","Today is the twenty second of August , 2012 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 1], month[7], year[2019]","It is twenty one July of the year 2019 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 7], month[2], year[2012]","The date is February the seventeenth , 2012 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[2 1], month[6], year[2009]","Today is the twenty first of June , 2009 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 8], month[9], year[2001]","It is September twenty eight , 2001 .","-1 -1 2 0 0 4 3 -1"
"day[1 4], month[9], year[2020]","The date is fourteen September of the year 2020 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 4], month[2], year[2019]","The date is February fourteen in the year 2019 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[1 9], month[3], year[2016]","It is nineteen March 2016 .","-1 -1 0 2 3 -1"
"day[2 4], month[6], year[2020]","It is June the twenty fourth , 2020 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 3], month[2], year[2013]","Today is February the thirteenth , 2013 .","-1 -1 2 -1 1 4 3 -1"
"day[3 1], month[6], year[2003]","Today is thirty one June of the year 2003 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 6], month[10], year[2009]","It is sixteen October 2009 .","-1 -1 0 2 3 -1"
"day[2 0], month[1], year[2011]","It is the twentieth of January in the year 2011 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[3 1], month[2], year[2007]","Today is February the thirty first , 2007 .","-1 -1 2 -1 1 1 4 3 -1"
"day[2 9], month[10], year[2018]","It is October the twenty ninth of the year 2018 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 0], month[4], year[2009]","It is twenty April of the year 2009 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 3], month[7], year[2013]","Today is July three in the year 2013 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 3], month[6], year[2006]","It is June the third of the year 2006 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 4], month[4], year[2017]","Today is four April of the year 2017 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 3], month[10], year[2016]","Today is October three in the year 2016 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 4], month[7], year[2010]","The date is July the fourteenth , 2010 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 2], month[7], year[2008]","Today is July the twelfth of the year 2008 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 1], month[3], year[2009]","Today is March twenty one in the year 2009 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 2], month[1], year[2016]","The date is January the second , 2016 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[2 2], month[2], year[2003]","Today is twenty two February of the year 2003 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 5], month[12], year[2015]","The date is December the twenty fifth of the year 2015 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 2], month[2], year[2012]","The date is the twenty second of February in the year 2012 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[2 1], month[10], year[2019]","It is October the twenty first of the year 2019 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 2], month[7], year[2014]","It is twenty two July 2014 .","-1 -1 0 0 2 3 -1"
"day[1 1], month[5], year[2020]","It is May the eleventh of the year 2020 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 3], month[4], year[2019]","Today is thirteen April of the year 2019 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 3], month[6], year[2002]","The date is three June of the year 2002 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[2 3], month[7], year[2004]","The date is July twenty three , 2004 .","-1 -1 -1 2 0 0 4 3 -1"
"day[1 9], month[3], year[2007]","The date is nineteen March 2007 .","-1 -1 -1 0 2 3 -1"
"day[1 9], month[9], year[2001]","It is the nineteenth of September , 2001 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 6], month[4], year[2014]","Today is the sixteenth of April , 2014 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 5], month[7], year[2011]","It is July fifteen , 2011 .","-1 -1 2 0 4 3 -1"
"day[2 9], month[11], year[2007]","The date is twenty nine November of the year 2007 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 9], month[3], year[2005]","The date is March twenty nine in the year 2005 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 0], month[4], year[2020]","The date is April twenty in the year 2020 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 1], month[5], year[2005]","It is May one , 2005 .","-1 -1 2 0 4 3 -1"
"day[1 0], month[9], year[2000]","Today is September the tenth of the year 2000 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 6], month[5], year[2018]","Today is May the twenty sixth , 2018 .","-1 -1 2 -1 1 1 4 3 -1"
"day[0 9], month[5], year[2010]","It is the ninth of May , 2010 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 1], month[4], year[2006]","It is the first of April in the year 2006 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 5], month[4], year[2013]","The date is the fifteenth of April in the year 2013 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 1], month[11], year[2006]","Today is November one in the year 2006 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 7], month[1], year[2011]","It is January seven in the year 2011 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 1], month[4], year[2003]","Today is April the eleventh , 2003 .","-1 -1 2 -1 1 4 3 -1"
"day[2 0], month[2], year[2009]","The date is twenty February 2009 .","-1 -1 -1 0 2 3 -1"
"day[0 4], month[7], year[2020]","Today is the fourth of July in the year 2020 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 2], month[8], year[2001]","It is August twelve , 2001 .","-1 -1 2 0 4 3 -1"
"day[0 3], month[6], year[2015]","It is the third of June in the year 2015 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 6], month[4], year[2004]","The date is the sixteenth of April in the year 2004 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 6], month[12], year[2013]","It is the twenty sixth of December in the year 2013 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 4], month[4], year[2008]","The date is four April of the year 2008 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[2 8], month[2], year[2015]","Today is February twenty eight in the year 2015 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 4], month[6], year[2016]","The date is June the twenty fourth , 2016 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[0 1], month[8], year[2001]","It is August one in the year 2001 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 9], month[10], year[2014]","It is nineteen October 2014 .","-1 -1 0 2 3 -1"
"day[0 1], month[11], year[2013]","Today is the first of November , 2013 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 5], month[4], year[2011]","It is the fifteenth of April , 2011 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 4], month[10], year[2018]","It is the fourth of October , 2018 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 4], month[12], year[2004]","Today is December the twenty fourth , 2004 .","-1 -1 2 -1 1 1 4 3 -1"
"day[2 5], month[10], year[2014]","It is twenty five October 2014 .","-1 -1 0 0 2 3 -1"
"day[1 3], month[3], year[2007]","It is March thirteen in the year 2007 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 2], month[11], year[2018]","It is twenty two November 2018 .","-1 -1 0 0 2 3 -1"
"day[2 8], month[3], year[2012]","The date is March twenty eight in the year 2012 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 3], month[8], year[2008]","The date is the third of August , 2008 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[0 9], month[1], year[2013]","Today is January nine in the year 2013 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 6], month[2], year[2003]","The date is February six , 2003 .","-1 -1 -1 2 0 4 3 -1"
"day[1 7], month[6], year[2011]","The date is June seventeen in the year 2011 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[1 6], month[2], year[2011]","The date is February the sixteenth of the year 2011 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 0], month[3], year[2003]","The date is March twenty , 2003 .","-1 -1 -1 2 0 4 3 -1"
"day[1 3], month[8], year[2020]","It is August thirteen in the year 2020 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 7], month[12], year[2003]","The date is the seventh of December in the year 2003 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 5], month[9], year[2002]","Today is September five , 2002 .","-1 -1 2 0 4 3 -1"
"day[2 2], month[12], year[2001]","Today is twenty two December 2001 .","-1 -1 0 0 2 3 -1"
"day[2 7], month[7], year[2005]","The date is July the twenty seventh of the year 2005 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 2], month[1], year[2003]","Today is the twenty second of January in the year 2003 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 6], month[11], year[2001]","The date is November the sixth of the year 2001 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 9], month[12], year[2019]","It is nineteen December 2019 .","-1 -1 0 2 3 -1"
"day[0 5], month[1], year[2005]","It is the fifth of January , 2005 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 7], month[8], year[2000]","It is seventeen August of the year 2000 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 7], month[2], year[2004]","It is twenty seven February 2004 .","-1 -1 0 0 2 3 -1"
"day[1 7], month[5], year[2003]","It is May seventeen , 2003 .","-1 -1 2 0 4 3 -1"
"day[2 9], month[7], year[2013]","Today is the twenty ninth of July in the year 2013 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[1 5], month[1], year[2019]","Today is January fifteen , 2019 .","-1 -1 2 0 4 3 -1"
"day[0 9], month[9], year[2019]","It is the ninth of September , 2019 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 8], month[8], year[2005]","The date is twenty eight August of the year 2005 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 9], month[7], year[2018]","The date is nine July of the year 2018 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[2 8], month[2], year[2008]","It is February the twenty eighth of the year 2008 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 4], month[6], year[2006]","The date is June fourteen , 2006 .","-1 -1 -1 2 0 4 3 -1"
"day[2 2], month[5], year[2007]","It is twenty two May of the year 2007 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 6], month[2], year[2015]","Today is February six , 2015 .","-1 -1 2 0 4 3 -1"
"day[1 3], month[8], year[2002]","The date is thirteen August 2002 .","-1 -1 -1 0 2 3 -1"
"day[0 3], month[2], year[2017]","It is three February 2017 .","-1 -1 0 2 3 -1"
"day[3 1], month[7], year[2017]","It is July the thirty first of the year 2017 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 7], month[3], year[2018]","The date is March the seventh of the year 2018 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 3], month[11], year[2005]","Today is twenty three November 2005 .","-1 -1 0 0 2 3 -1"
"day[2 2], month[3], year[2003]","Today is March twenty two , 2003 .","-1 -1 2 0 0 4 3 -1"
"day[2 3], month[1], year[2016]","The date is January twenty three in the year 2016 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 2], month[6], year[2002]","The date is the second of June , 2002 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 7], month[2], year[2011]","Today is February the twenty seventh of the year 2011 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 4], month[2], year[2012]","It is twenty four February of the year 2012 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 7], month[7], year[2001]","Today is July the seventh of the year 2001 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 5], month[2], year[2003]","Today is February five in the year 2003 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 2], month[4], year[2011]","Today is the twelfth of April in the year 2011 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 5], month[7], year[2015]","Today is fifteen July 2015 .","-1 -1 0 2 3 -1"
"day[1 5], month[4], year[2001]","Today is April fifteen in the year 2001 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 1], month[10], year[2006]","It is October the first of the year 2006 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 7], month[5], year[2015]","The date is May the twenty seventh , 2015 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[2 3], month[8], year[2019]","Today is twenty three August 2019 .","-1 -1 0 0 2 3 -1"
"day[1 3], month[11], year[2020]","Today is thirteen November 2020 .","-1 -1 0 2 3 -1"
"day[0 1], month[1], year[2016]","The date is the first of January , 2016 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[0 7], month[2], year[2006]","The date is seven February of the year 2006 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 8], month[7], year[2016]","The date is the eighteenth of July , 2016 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 6], month[4], year[2019]","Today is April twenty six , 2019 .","-1 -1 2 0 0 4 3 -1"
"day[2 1], month[12], year[2020]","The date is December the twenty first of the year 2020 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 5], month[11], year[2011]","Today is November twenty five , 2011 .","-1 -1 2 0 0 4 3 -1"
"day[2 6], month[12], year[2020]","The date is the twenty sixth of December , 2020 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 7], month[8], year[2017]","It is August seven in the year 2017 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 4], month[11], year[2000]","It is the fourteenth of November , 2000 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 1], month[2], year[2016]","The date is February the first , 2016 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[2 5], month[12], year[2018]","The date is twenty five December of the year 2018 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 8], month[10], year[2011]","Today is October the twenty eighth of the year 2011 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 7], month[5], year[2012]","Today is the seventh of May in the year 2012 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 7], month[8], year[2010]","Today is August seven in the year 2010 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 3], month[12], year[2007]","Today is thirteen December of the year 2007 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 7], month[1], year[2020]","It is January seven , 2020 .","-1 -1 2 0 4 3 -1"
"day[0 8], month[8], year[2009]","Today is August eight in the year 2009 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 0], month[4], year[2006]","It is ten April 2006 .","-1 -1 0 2 3 -1"
"day[1 1], month[5], year[2004]","It is the eleventh of May , 2004 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 1], month[11], year[2013]","It is November the first , 2013 .","-1 -1 2 -1 1 4 3 -1"
"day[1 3], month[1], year[2009]","It is January the thirteenth of the year 2009 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 8], month[8], year[2004]","Today is eight August 2004 .","-1 -1 0 2 3 -1"
"day[2 6], month[5], year[2014]","The date is the twenty sixth of May , 2014 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 9], month[10], year[2006]","It is twenty nine October 2006 .","-1 -1 0 0 2 3 -1"
"day[2 9], month[11], year[2015]","The date is the twenty ninth of November , 2015 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 6], month[11], year[2011]","It is twenty six November 2011 .","-1 -1 0 0 2 3 -1"
"day[1 3], month[8], year[2008]","It is August the thirteenth , 2008 .","-1 -1 2 -1 1 4 3 -1"
"day[1 4], month[2], year[2005]","The date is the fourteenth of February in the year 2005 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 9], month[10], year[2016]","Today is October the nineteenth of the year 2016 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 2], month[11], year[2020]","Today is November the twelfth of the year 2020 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 8], month[8], year[2019]","The date is August twenty eight in the year 2019 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 3], month[11], year[2008]","The date is thirteen November of the year 2008 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[2 2], month[7], year[2011]","It is July twenty two in the year 2011 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 2], month[9], year[2001]","The date is two September of the year 2001 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 7], month[2], year[2003]","Today is seventeen February 2003 .","-1 -1 0 2 3 -1"
"day[2 9], month[2], year[2010]","It is twenty nine February of the year 2010 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 3], month[5], year[2014]","The date is the third of May , 2014 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 0], month[2], year[2003]","Today is twenty February of the year 2003 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 0], month[10], year[2007]","It is October ten in the year 2007 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 0], month[2], year[2001]","It is February the tenth , 2001 .","-1 -1 2 -1 1 4 3 -1"
"day[0 7], month[11], year[2004]","It is seven November of the year 2004 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 6], month[10], year[2009]","Today is October sixteen in the year 2009 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 6], month[2], year[2011]","Today is the sixteenth of February in the year 2011 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 3], month[5], year[2010]","It is twenty three May 2010 .","-1 -1 0 0 2 3 -1"
"day[0 4], month[1], year[2001]","It is January four in the year 2001 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 2], month[1], year[2006]","The date is two January 2006 .","-1 -1 -1 0 2 3 -1"
"day[2 2], month[4], year[2016]","It is April the twenty second , 2016 .","-1 -1 2 -1 1 1 4 3 -1"
