mr,ref
"day[0 1], month[7], year[2017]","Today is the first of July , 2017 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 3], month[7], year[2018]","The date is July the thirteenth , 2018 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[3 1], month[8], year[2004]","The date is the thirty first of August , 2004 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 8], month[1], year[2016]","It is January the eighteenth of the year 2016 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 4], month[3], year[2010]","The date is March four , 2010 .","-1 -1 -1 2 0 4 3 -1"
"day[0 7], month[6], year[2005]","The date is the seventh of June , 2005 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 6], month[11], year[2006]","The date is November the twenty sixth , 2006 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[1 8], month[12], year[2020]","Today is eighteen December of the year 2020 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 5], month[12], year[2013]","Today is the fifth of December , 2013 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 0], month[4], year[2009]","It is April ten , 2009 .","-1 -1 2 0 4 3 -1"
"day[0 9], month[10], year[2011]","It is the ninth of October , 2011 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 1], month[6], year[2017]","The date is June the eleventh of the year 2017 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 5], month[6], year[2007]","The date is June five in the year 2007 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 8], month[11], year[2018]","The date is November the eighth , 2018 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 6], month[3], year[2010]","The date is March sixteen , 2010 .","-1 -1 -1 2 0 4 3 -1"
"day[0 1], month[1], year[2004]","The date is one January 2004 .","-1 -1 -1 0 2 3 -1"
"day[0 9], month[6], year[2006]","Today is nine June 2006 .","-1 -1 0 2 3 -1"
"day[2 3], month[1], year[2001]","It is the twenty third of January in the year 2001 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 6], month[4], year[2003]","The date is April six in the year 2003 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[2 4], month[4], year[2001]","Today is April twenty four , 2001 .","-1 -1 2 0 0 4 3 -1"
"day[2 4], month[7], year[2009]","It is July the twenty fourth , 2009 .","-1 -1 2 -1 1 1 4 3 -1"
"day[2 9], month[9], year[2013]","It is the twenty ninth of September , 2013 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 3], month[3], year[2014]","The date is the third of March in the year 2014 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 0], month[7], year[2013]","Today is July the twentieth of the year 2013 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 8], month[8], year[2010]","Today is the eighteenth of August in the year 2010 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 6], month[4], year[2014]","It is April the twenty sixth , 2014 .","-1 -1 2 -1 1 1 4 3 -1"
"day[2 9], month[3], year[2003]","It is March twenty nine in the year 2003 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 2], month[2], year[2015]","Today is February twenty two , 2015 .","-1 -1 2 0 0 4 3 -1"
"day[2 6], month[3], year[2019]","Today is March the twenty sixth of the year 2019 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 6], month[10], year[2001]","Today is October six in the year 2001 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 6], month[8], year[2000]","It is August six in the year 2000 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 9], month[8], year[2010]","Today is August the ninth , 2010 .","-1 -1 2 -1 1 4 3 -1"
"day[0 3], month[5], year[2016]","The date is May three , 2016 .","-1 -1 -1 2 0 4 3 -1"
"day[0 7], month[8], year[2002]","Today is seven August of the year 2002 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[3 0], month[12], year[2007]","The date is the thirtieth of December , 2007 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[1 0], month[1], year[2014]","It is the tenth of January in the year 2014 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 8], month[10], year[2007]","Today is October the eighteenth , 2007 .","-1 -1 2 -1 1 4 3 -1"
"day[1 8], month[7], year[2008]","The date is July eighteen in the year 2008 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 3], month[3], year[2009]","The date is the third of March , 2009 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[0 1], month[3], year[2010]","Today is one March 2010 .","-1 -1 0 2 3 -1"
"day[1 2], month[1], year[2004]","Today is January twelve , 2004 .","-1 -1 2 0 4 3 -1"
"day[3 1], month[2], year[2002]","The date is February the thirty first , 2002 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[0 5], month[11], year[2009]","It is November the fifth of the year 2009 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 8], month[2], year[2003]","Today is eighteen February of the year 2003 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 1], month[1], year[2016]","It is January eleven in the year 2016 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 5], month[5], year[2009]","Today is May twenty five , 2009 .","-1 -1 2 0 0 4 3 -1"
"day[0 2], month[5], year[2009]","It is May the second of the year 2009 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 7], month[8], year[2019]","It is August twenty seven , 2019 .","-1 -1 2 0 0 4 3 -1"
"day[2 0], month[11], year[2017]","Today is November the twentieth of the year 2017 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 9], month[12], year[2000]","It is December the nineteenth of the year 2000 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 5], month[10], year[2001]","Today is fifteen October 2001 .","-1 -1 0 2 3 -1"
"day[1 9], month[9], year[2018]","It is nineteen September 2018 .","-1 -1 0 2 3 -1"
"day[0 5], month[7], year[2019]","The date is the fifth of July , 2019 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[1 6], month[7], year[2019]","The date is July the sixteenth , 2019 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 2], month[1], year[2017]","The date is January twelve , 2017 .","-1 -1 -1 2 0 4 3 -1"
"day[0 1], month[11], year[2020]","It is November the first , 2020 .","-1 -1 2 -1 1 4 3 -1"
"day[1 5], month[3], year[2004]","Today is fifteen March of the year 2004 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 0], month[4], year[2019]","It is April the tenth of the year 2019 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 9], month[1], year[2007]","Today is nineteen January of the year 2007 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 1], month[12], year[2018]","Today is eleven December of the year 2018 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 9], month[2], year[2004]","It is February nineteen in the year 2004 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 2], month[10], year[2009]","Today is October twelve , 2009 .","-1 -1 2 0 4 3 -1"
"day[0 8], month[3], year[2017]","It is March the eighth of the year 2017 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 9], month[8], year[2010]","It is August twenty nine , 2010 .","-1 -1 2 0 0 4 3 -1"
"day[1 7], month[5], year[2012]","Today is the seventeenth of May , 2012 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 0], month[2], year[2005]","Today is February ten in the year 2005 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 7], month[8], year[2001]","Today is August twenty seven in the year 2001 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 2], month[4], year[2014]","Today is April the twenty second , 2014 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 9], month[5], year[2013]","Today is May nineteen , 2013 .","-1 -1 2 0 4 3 -1"
"day[2 7], month[9], year[2011]","Today is twenty seven September 2011 .","-1 -1 0 0 2 3 -1"
"day[2 7], month[5], year[2003]","Today is May twenty seven in the year 2003 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 6], month[11], year[2003]","The date is November the twenty sixth of the year 2003 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 1], month[3], year[2019]","Today is one March of the year 2019 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 2], month[7], year[2000]","The date is July twenty two in the year 2000 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 1], month[4], year[2001]","It is one April 2001 .","-1 -1 0 2 3 -1"
"day[2 8], month[9], year[2016]","Today is September the twenty eighth of the year 2016 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 3], month[9], year[2002]","The date is September the thirteenth , 2002 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[2 1], month[7], year[2006]","The date is the twenty first of July in the year 2006 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 7], month[11], year[2011]","The date is November seven in the year 2011 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 3], month[10], year[2006]","Today is October the third of the year 2006 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 8], month[12], year[2005]","The date is the eighth of December in the year 2005 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 8], month[6], year[2000]","The date is eighteen June 2000 .","-1 -1 -1 0 2 3 -1"
"day[0 5], month[6], year[2015]","Today is June five , 2015 .","-1 -1 2 0 4 3 -1"
"day[0 9], month[10], year[2016]","The date is October nine , 2016 .","-1 -1 -1 2 0 4 3 -1"
"day[0 9], month[9], year[2003]","Today is the ninth of September , 2003 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 5], month[9], year[2013]","Today is September fifteen , 2013 .","-1 -1 2 0 4 3 -1"
"day[2 6], month[8], year[2001]","Today is the twenty sixth of August , 2001 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 9], month[3], year[2004]","The date is the nineteenth of March , 2004 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 5], month[10], year[2005]","The date is October twenty five , 2005 .","-1 -1 -1 2 0 0 4 3 -1"
"day[0 3], month[6], year[2018]","Today is June three , 2018 .","-1 -1 2 0 4 3 -1"
"day[0 4], month[7], year[2017]","Today is July the fourth , 2017 .","-1 -1 2 -1 1 4 3 -1"
"day[1 6], month[9], year[2011]","Today is September the sixteenth , 2011 .","-1 -1 2 -1 1 4 3 -1"
"day[0 9], month[8], year[2012]","It is August the ninth of the year 2012 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 6], month[3], year[2012]","Today is March the sixteenth , 2012 .","-1 -1 2 -1 1 4 3 -1"
"day[1 9], month[1], year[2004]","It is January nineteen in the year 2004 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 3], month[5], year[2016]","It is May the third of the year 2016 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 1], month[4], year[2001]","The date is April twenty one in the year 2001 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 5], month[5], year[2008]","The date is the fifteenth of May in the year 2008 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 0], month[7], year[2015]","It is the twentieth of July , 2015 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 2], month[7], year[2006]","Today is July twelve in the year 2006 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 4], month[2], year[2015]","It is the fourteenth of February in the year 2015 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 3], month[6], year[2009]","The date is June the thirteenth of the year 2009 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 8], month[9], year[2010]","Today is September the eighth of the year 2010 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 0], month[2], year[2012]","Today is February ten in the year 2012 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 7], month[4], year[2018]","The date is twenty seven April 2018 .","-1 -1 -1 0 0 2 3 -1"
"day[1 1], month[2], year[2001]","It is February the eleventh , 2001 .","-1 -1 2 -1 1 4 3 -1"
"day[1 4], month[4], year[2008]","The date is the fourteenth of April , 2008 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[1 7], month[10], year[2019]","It is the seventeenth of October in the year 2019 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 9], month[10], year[2001]","Today is October nineteen , 2001 .","-1 -1 2 0 4 3 -1"
"day[2 9], month[10], year[2013]","Today is twenty nine October 2013 .","-1 -1 0 0 2 3 -1"
"day[1 5], month[8], year[2006]","The date is August fifteen in the year 2006 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[2 5], month[8], year[2003]","Today is the twenty fifth of August , 2003 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 5], month[3], year[2013]","The date is five March of the year 2013 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[3 0], month[11], year[2011]","Today is November thirty in the year 2011 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 9], month[1], year[2016]","The date is nine January 2016 .","-1 -1 -1 0 2 3 -1"
"day[0 6], month[12], year[2001]","The date is December the sixth , 2001 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[2 6], month[4], year[2016]","Today is twenty six April 2016 .","-1 -1 0 0 2 3 -1"
"day[2 4], month[7], year[2009]","Today is July twenty four in the year 2009 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 5], month[12], year[2011]","The date is twenty five December of the year 2011 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 1], month[9], year[2017]","Today is one September of the year 2017 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 1], month[7], year[2012]","Today is July the first of the year 2012 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 4], month[8], year[2016]","The date is the fourth of August in the year 2016 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 4], month[4], year[2012]","The date is April four , 2012 .","-1 -1 -1 2 0 4 3 -1"
"day[1 4], month[6], year[2016]","It is June fourteen in the year 2016 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 5], month[5], year[2001]","It is May the fifteenth , 2001 .","-1 -1 2 -1 1 4 3 -1"
"day[1 1], month[6], year[2011]","Today is June eleven in the year 2011 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 7], month[9], year[2007]","Today is September seven in the year 2007 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[3 0], month[12], year[2003]","Today is the thirtieth of December in the year 2003 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 1], month[11], year[2004]","Today is November the first of the year 2004 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 7], month[8], year[2005]","The date is August the seventh of the year 2005 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 2], month[10], year[2009]","The date is the second of October in the year 2009 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 8], month[9], year[2017]","Today is September the twenty eighth , 2017 .","-1 -1 2 -1 1 1 4 3 -1"
"day[0 2], month[12], year[2015]","The date is December two , 2015 .","-1 -1 -1 2 0 4 3 -1"
"day[1 9], month[7], year[2004]","It is July the nineteenth of the year 2004 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 7], month[2], year[2018]","It is February the seventeenth , 2018 .","-1 -1 2 -1 1 4 3 -1"
"day[1 2], month[2], year[2007]","It is the twelfth of February , 2007 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[3 0], month[5], year[2004]","The date is thirty May of the year 2004 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 2], month[8], year[2009]","It is twelve August 2009 .","-1 -1 0 2 3 -1"
"day[2 6], month[10], year[2010]","It is October the twenty sixth , 2010 .","-1 -1 2 -1 1 1 4 3 -1"
"day[0 2], month[12], year[2017]","Today is two December of the year 2017 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 9], month[4], year[2003]","It is April the ninth of the year 2003 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 0], month[6], year[2015]","Today is June ten , 2015 .","-1 -1 2 0 4 3 -1"
"day[0 2], month[12], year[2019]","Today is two December 2019 .","-1 -1 0 2 3 -1"
"day[2 2], month[6], year[2005]","The date is June twenty two in the year 2005 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 0], month[4], year[2007]","The date is April the twentieth , 2007 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 2], month[3], year[2012]","Today is twelve March of the year 2012 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 4], month[8], year[2009]","It is the twenty fourth of August , 2009 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 1], month[9], year[2009]","Today is September eleven in the year 2009 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 2], month[2], year[2001]","The date is February twenty two in the year 2001 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 5], month[9], year[2017]","It is September the twenty fifth of the year 2017 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 6], month[12], year[2004]","It is December twenty six in the year 2004 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 2], month[2], year[2019]","Today is the twelfth of February in the year 2019 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 4], month[4], year[2011]","It is the fourth of April in the year 2011 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 4], month[9], year[2019]","Today is September the twenty fourth of the year 2019 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 3], month[3], year[2018]","The date is three March 2018 .","-1 -1 -1 0 2 3 -1"
"day[1 8], month[3], year[2008]","Today is March the eighteenth of the year 2008 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 2], month[3], year[2000]","The date is two March 2000 .","-1 -1 -1 0 2 3 -1"
"day[2 0], month[6], year[2010]","It is June twenty , 2010 .","-1 -1 2 0 4 3 -1"
"day[2 7], month[3], year[2015]","Today is March twenty seven , 2015 .","-1 -1 2 0 0 4 3 -1"
"day[0 9], month[10], year[2008]","Today is October nine , 2008 .","-1 -1 2 0 4 3 -1"
"day[0 8], month[8], year[2017]","The date is August the eighth of the year 2017 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 6], month[12], year[2015]","It is December the twenty sixth of the year 2015 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 6], month[6], year[2008]","The date is the sixth of June in the year 2008 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 3], month[3], year[2017]","Today is the third of March in the year 2017 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 2], month[4], year[2013]","It is April the twelfth , 2013 .","-1 -1 2 -1 1 4 3 -1"
"day[1 1], month[11], year[2003]","Today is November the eleventh of the year 2003 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 1], month[8], year[2008]","Today is the eleventh of August in the year 2008 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 2], month[2], year[2011]","It is February twelve in the year 2011 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 5], month[2], year[2000]","It is February the fifth , 2000 .","-1 -1 2 -1 1 4 3 -1"
"day[1 8], month[10], year[2007]","It is eighteen October of the year 2007 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 9], month[12], year[2010]","Today is the twenty ninth of December , 2010 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 6], month[5], year[2007]","The date is six May of the year 2007 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[0 2], month[4], year[2003]","It is two April 2003 .","-1 -1 0 2 3 -1"
"day[2 7], month[6], year[2010]","It is June the twenty seventh of the year 2010 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 7], month[7], year[2014]","It is July the seventeenth , 2014 .","-1 -1 2 -1 1 4 3 -1"
"day[2 7], month[11], year[2003]","It is November the twenty seventh of the year 2003 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 6], month[8], year[2007]","It is twenty six August 2007 .","-1 -1 0 0 2 3 -1"
"day[1 4], month[9], year[2016]","The date is September the fourteenth , 2016 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 1], month[5], year[2006]","The date is the first of May in the year 2006 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 2], month[9], year[2006]","It is September the twenty second , 2006 .","-1 -1 2 -1 1 1 4 3 -1"
"day[0 8], month[1], year[2002]","Today is January eight , 2002 .","-1 -1 2 0 4 3 -1"
"day[2 0], month[11], year[2014]","Today is November the twentieth of the year 2014 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 8], month[3], year[2005]","The date is the twenty eighth of March , 2005 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 8], month[11], year[2001]","It is eight November 2001 .","-1 -1 0 2 3 -1"
"day[2 4], month[3], year[2010]","The date is the twenty fourth of March in the year 2010 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[2 1], month[9], year[2009]","The date is twenty one September of the year 2009 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 6], month[1], year[2002]","Today is January the twenty sixth of the year 2002 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 1], month[3], year[2020]","It is March the eleventh of the year 2020 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 5], month[10], year[2014]","The date is the twenty fifth of October in the year 2014 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 1], month[9], year[2006]","It is September the first , 2006 .","-1 -1 2 -1 1 4 3 -1"
"day[1 1], month[3], year[2015]","Today is the eleventh of March in the year 2015 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 0], month[1], year[2015]","The date is January the tenth of the year 2015 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 8], month[4], year[2008]","The date is April eighteen , 2008 .","-1 -1 -1 2 0 4 3 -1"
"day[2 3], month[9], year[2007]","Today is September the twenty third of the year 2007 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 7], month[11], year[2020]","It is November the seventh , 2020 .","-1 -1 2 -1 1 4 3 -1"
"day[2 4], month[5], year[2000]","It is May twenty four in the year 2000 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 3], month[9], year[2015]","Today is the third of September in the year 2015 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 9], month[8], year[2004]","It is the nineteenth of August , 2004 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 3], month[9], year[2001]","It is September three in the year 2001 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 2], month[2], year[2006]","The date is February the twelfth of the year 2006 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 2], month[9], year[2016]","It is September the second of the year 2016 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 0], month[11], year[2013]","The date is November twenty in the year 2013 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[1 4], month[7], year[2009]","It is fourteen July of the year 2009 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 5], month[6], year[2010]","Today is June five , 2010 .","-1 -1 2 0 4 3 -1"
"day[0 3], month[4], year[2015]","The date is April three in the year 2015 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[1 3], month[2], year[2002]","The date is thirteen February of the year 2002 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 6], month[10], year[2017]","It is October sixteen , 2017 .","-1 -1 2 0 4 3 -1"
"day[2 8], month[9], year[2019]","It is September twenty eight , 2019 .","-1 -1 2 0 0 4 3 -1"
"day[2 1], month[6], year[2003]","It is June twenty one , 2003 .","-1 -1 2 0 0 4 3 -1"
"day[1 6], month[9], year[2020]","The date is September the sixteenth , 2020 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[3 1], month[2], year[2015]","The date is thirty one February 2015 .","-1 -1 -1 0 0 2 3 -1"
"day[2 9], month[5], year[2016]","It is the twenty ninth of May in the year 2016 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[2 7], month[10], year[2019]","Today is October twenty seven , 2019 .","-1 -1 2 0 0 4 3 -1"
"day[0 6], month[5], year[2001]","Today is May six in the year 2001 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 5], month[1], year[2006]","The date is five January of the year 2006 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 4], month[5], year[2009]","It is the fourteenth of May in the year 2009 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 8], month[8], year[2007]","The date is August twenty eight in the year 2007 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 5], month[11], year[2001]","It is November fifteen , 2001 .","-1 -1 2 0 4 3 -1"
"day[2 4], month[5], year[2012]","Today is May twenty four , 2012 .","-1 -1 2 0 0 4 3 -1"
"day[1 3], month[5], year[2016]","Today is thirteen May 2016 .","-1 -1 0 2 3 -1"
"day[1 7], month[7], year[2016]","Today is seventeen July 2016 .","-1 -1 0 2 3 -1"
"day[2 0], month[9], year[2016]","It is September twenty in the year 2016 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 1], month[5], year[2011]","It is May eleven in the year 2011 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 6], month[12], year[2005]","The date is the sixth of December in the year 2005 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 4], month[7], year[2018]","Today is July fourteen , 2018 .","-1 -1 2 0 4 3 -1"
"day[1 2], month[2], year[2017]","It is February the twelfth , 2017 .","-1 -1 2 -1 1 4 3 -1"
"day[1 6], month[10], year[2003]","The date is sixteen October 2003 .","-1 -1 -1 0 2 3 -1"
"day[1 7], month[3], year[2005]","Today is March seventeen in the year 2005 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 6], month[5], year[2016]","Today is six May of the year 2016 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 6], month[5], year[2002]","Today is May the sixth of the year 2002 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 8], month[4], year[2010]","It is April eighteen in the year 2010 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 1], month[9], year[2008]","It is eleven September 2008 .","-1 -1 0 2 3 -1"
"day[0 2], month[3], year[2018]","Today is March the second , 2018 .","-1 -1 2 -1 1 4 3 -1"
"day[1 4], month[11], year[2017]","It is fourteen November 2017 .","-1 -1 0 2 3 -1"
"day[3 0], month[6], year[2013]","The date is thirty June of the year 2013 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 2], month[9], year[2020]","Today is September twelve in the year 2020 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 1], month[1], year[2002]","Today is January the twenty first , 2002 .","-1 -1 2 -1 1 1 4 3 -1"
"day[3 0], month[1], year[2019]","The date is January the thirtieth of the year 2019 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 8], month[5], year[2011]","It is May eighteen , 2011 .","-1 -1 2 0 4 3 -1"
"day[1 6], month[2], year[2012]","Today is sixteen February of the year 2012 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 1], month[9], year[2017]","The date is twenty one September of the year 2017 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 2], month[6], year[2008]","The date is June the twelfth of the year 2008 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 6], month[2], year[2009]","It is the sixth of February , 2009 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 5], month[4], year[2012]","The date is April the twenty fifth of the year 2012 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
